m,n,beta,d,b_batch,seed,gap
100,150,0.5,2,1,44015,1.5
100,150,0.5,2,1,42699,1.5
100,150,0.5,2,1,57975,1.5
100,150,0.5,2,1,32146,1.5
100,150,0.75,2,1,42,1.5
100,150,0.75,2,1,67,1.5
100,150,0.75,2,1,77,1.5
100,150,0.75,2,1,69,1.5
100,150,0.75,2,1,13,2.5
100,150,0.75,2,1,28430,1.5
100,150,0.75,2,1,44015,2.5
100,150,0.75,2,1,42699,1.5
100,150,0.75,2,1,57975,1.5
100,150,0.75,2,1,32146,1.5
100,150,1.0,2,1,42,1.5
100,150,1.0,2,1,67,1.5
100,150,1.0,2,1,77,1.5
100,150,1.0,2,1,69,1.5
100,150,1.0,2,1,13,1.5
100,150,1.0,2,1,28430,1.5
100,150,1.0,2,1,44015,2.5
100,150,1.0,2,1,42699,1.5
100,150,1.0,2,1,57975,1.5
100,150,1.0,2,1,32146,1.5
100,200,0.0,2,1,42,3.0
100,200,0.0,2,1,67,3.0
100,200,0.0,2,1,77,2.0
100,200,0.0,2,1,69,2.0
100,200,0.0,2,1,13,2.0
100,200,0.0,2,1,28430,2.0
100,200,0.0,2,1,44015,2.0
100,200,0.0,2,1,42699,3.0
100,200,0.0,2,1,57975,2.0
100,200,0.0,2,1,32146,2.0
100,200,0.25,2,1,42,3.0
100,200,0.25,2,1,67,3.0
100,200,0.25,2,1,77,2.0
100,200,0.25,2,1,69,3.0
100,200,0.25,2,1,13,2.0
100,200,0.25,2,1,28430,2.0
100,200,0.25,2,1,44015,2.0
100,200,0.25,2,1,42699,2.0
100,200,0.25,2,1,57975,2.0
100,200,0.25,2,1,32146,2.0
100,200,0.5,2,1,42,2.0
100,200,0.5,2,1,67,3.0
100,200,0.5,2,1,77,2.0
100,200,0.5,2,1,69,2.0
100,200,0.5,2,1,13,2.0
100,200,0.5,2,1,28430,2.0
100,200,0.5,2,1,44015,2.0
100,200,0.5,2,1,42699,2.0
100,200,0.5,2,1,57975,2.0
100,200,0.5,2,1,32146,1.0
100,200,0.75,2,1,42,1.0
100,200,0.75,2,1,67,2.0
100,200,0.75,2,1,77,2.0
100,200,0.75,2,1,69,2.0
100,200,0.75,2,1,13,2.0
100,200,0.75,2,1,28430,2.0
100,200,0.75,2,1,44015,2.0
100,200,0.75,2,1,42699,2.0
100,200,0.75,2,1,57975,2.0
100,200,0.75,2,1,32146,2.0
100,200,1.0,2,1,42,2.0
100,200,1.0,2,1,67,2.0
100,200,1.0,2,1,77,2.0
100,200,1.0,2,1,69,2.0
100,200,1.0,2,1,13,2.0
100,200,1.0,2,1,28430,2.0
100,200,1.0,2,1,44015,2.0
100,200,1.0,2,1,42699,2.0
100,200,1.0,2,1,57975,2.0
100,200,1.0,2,1,32146,2.0
100,250,0.0,2,1,42,2.5
100,250,0.0,2,1,67,2.5
100,250,0.0,2,1,77,1.5
100,250,0.0,2,1,69,1.5
100,250,0.0,2,1,13,2.5
100,250,0.0,2,1,28430,1.5
100,250,0.0,2,1,44015,2.5
100,250,0.0,2,1,42699,2.5
100,250,0.0,2,1,57975,3.5
100,250,0.0,2,1,32146,1.5
100,250,0.25,2,1,42,2.5
100,250,0.25,2,1,67,2.5
100,250,0.25,2,1,77,1.5
100,250,0.25,2,1,69,2.5
100,250,0.25,2,1,13,1.5
100,250,0.25,2,1,28430,2.5
100,250,0.25,2,1,44015,1.5
100,250,0.25,2,1,42699,1.5
100,250,0.25,2,1,57975,2.5
100,250,0.25,2,1,32146,2.5
100,250,0.5,2,1,42,1.5
100,250,0.5,2,1,67,2.5
100,250,0.5,2,1,77,1.5
100,250,0.5,2,1,69,1.5
100,250,0.5,2,1,13,1.5
100,250,0.5,2,1,28430,2.5
100,250,0.5,2,1,44015,1.5
100,250,0.5,2,1,42699,1.5
100,250,0.5,2,1,57975,2.5
100,250,0.5,2,1,32146,2.5
100,250,0.75,2,1,42,1.5
100,250,0.75,2,1,67,2.5
100,250,0.75,2,1,77,1.5
100,250,0.75,2,1,69,1.5
100,250,0.75,2,1,13,1.5
100,250,0.75,2,1,28430,1.5
100,250,0.75,2,1,44015,1.5
100,250,0.75,2,1,42699,1.5
100,250,0.75,2,1,57975,1.5
100,250,0.75,2,1,32146,2.5
100,250,1.0,2,1,42,1.5
100,250,1.0,2,1,67,1.5
100,250,1.0,2,1,77,2.5
100,250,1.0,2,1,69,1.5
100,250,1.0,2,1,13,1.5
100,250,1.0,2,1,28430,1.5
100,250,1.0,2,1,44015,1.5
100,250,1.0,2,1,42699,1.5
100,250,1.0,2,1,57975,2.5
100,250,1.0,2,1,32146,2.5
100,300,0.0,2,1,42,2.0
100,300,0.0,2,1,67,2.0
100,300,0.0,2,1,77,2.0
100,300,0.0,2,1,69,2.0
100,300,0.0,2,1,13,2.0
100,300,0.0,2,1,28430,2.0
100,300,0.0,2,1,44015,2.0
100,300,0.0,2,1,42699,3.0
100,300,0.0,2,1,57975,3.0
100,300,0.0,2,1,32146,2.0
100,300,0.25,2,1,42,3.0
100,300,0.25,2,1,67,3.0
100,300,0.25,2,1,77,3.0
100,300,0.25,2,1,69,2.0
100,300,0.25,2,1,13,2.0
100,300,0.25,2,1,28430,2.0
100,300,0.25,2,1,44015,2.0
100,300,0.25,2,1,42699,2.0
100,300,0.25,2,1,57975,2.0
100,300,0.25,2,1,32146,2.0
100,300,0.5,2,1,42,2.0
100,300,0.5,2,1,67,2.0
100,300,0.5,2,1,77,2.0
100,300,0.5,2,1,69,2.0
100,300,0.5,2,1,13,2.0
100,300,0.5,2,1,28430,2.0
100,300,0.5,2,1,44015,2.0
100,300,0.5,2,1,42699,2.0
100,300,0.5,2,1,57975,2.0
100,300,0.5,2,1,32146,2.0
100,300,0.75,2,1,42,2.0
100,300,0.75,2,1,67,2.0
100,300,0.75,2,1,77,2.0
100,300,0.75,2,1,69,3.0
100,300,0.75,2,1,13,2.0
100,300,0.75,2,1,28430,1.0
100,300,0.75,2,1,44015,3.0
100,300,0.75,2,1,42699,2.0
100,300,0.75,2,1,57975,2.0
100,300,0.75,2,1,32146,2.0
100,300,1.0,2,1,42,2.0
100,300,1.0,2,1,67,2.0
100,300,1.0,2,1,77,2.0
100,300,1.0,2,1,69,2.0
100,300,1.0,2,1,13,2.0
100,300,1.0,2,1,28430,2.0
100,300,1.0,2,1,44015,2.0
100,300,1.0,2,1,42699,2.0
100,300,1.0,2,1,57975,2.0
100,300,1.0,2,1,32146,2.0
100,350,0.0,2,1,42,2.5
100,350,0.0,2,1,67,2.5
100,350,0.0,2,1,77,1.5
100,350,0.0,2,1,69,2.5
100,350,0.0,2,1,13,2.5
100,350,0.0,2,1,28430,2.5
100,350,0.0,2,1,44015,3.5
100,350,0.0,2,1,42699,3.5
100,350,0.0,2,1,57975,2.5
100,350,0.0,2,1,32146,1.5
100,350,0.25,2,1,42,2.5
100,350,0.25,2,1,67,2.5
100,350,0.25,2,1,77,2.5
100,350,0.25,2,1,69,2.5
100,350,0.25,2,1,13,3.5
100,350,0.25,2,1,28430,2.5
100,350,0.25,2,1,44015,2.5
100,350,0.25,2,1,42699,2.5
100,350,0.25,2,1,57975,2.5
100,350,0.25,2,1,32146,1.5
100,350,0.5,2,1,42,2.5
100,350,0.5,2,1,67,2.5
100,350,0.5,2,1,77,3.5
100,350,0.5,2,1,69,2.5
100,350,0.5,2,1,13,1.5
100,350,0.5,2,1,28430,1.5
100,350,0.5,2,1,44015,1.5
100,350,0.5,2,1,42699,2.5
100,350,0.5,2,1,57975,2.5
100,350,0.5,2,1,32146,2.5
100,350,0.75,2,1,42,1.5
100,350,0.75,2,1,67,2.5
100,350,0.75,2,1,77,1.5
100,350,0.75,2,1,69,2.5
100,350,0.75,2,1,13,1.5
100,350,0.75,2,1,28430,2.5
100,350,0.75,2,1,44015,3.5
100,350,0.75,2,1,42699,2.5
100,350,0.75,2,1,57975,1.5
100,350,0.75,2,1,32146,2.5
100,350,1.0,2,1,42,1.5
100,350,1.0,2,1,67,1.5
100,350,1.0,2,1,77,1.5
100,350,1.0,2,1,69,1.5
100,350,1.0,2,1,13,2.5
100,350,1.0,2,1,28430,1.5
100,350,1.0,2,1,44015,1.5
100,350,1.0,2,1,42699,1.5
100,350,1.0,2,1,57975,2.5
100,350,1.0,2,1,32146,1.5
100,400,0.0,2,1,42,3.0
100,400,0.0,2,1,67,2.0
100,400,0.0,2,1,77,2.0
100,400,0.0,2,1,69,2.0
100,400,0.0,2,1,13,2.0
100,400,0.0,2,1,28430,2.0
100,400,0.0,2,1,44015,3.0
100,400,0.0,2,1,42699,3.0
100,400,0.0,2,1,57975,2.0
100,400,0.0,2,1,32146,2.0
100,400,0.25,2,1,42,2.0
100,400,0.25,2,1,67,2.0
100,400,0.25,2,1,77,2.0
100,400,0.25,2,1,69,2.0
100,400,0.25,2,1,13,3.0
100,400,0.25,2,1,28430,2.0
100,400,0.25,2,1,44015,2.0
100,400,0.25,2,1,42699,3.0
100,400,0.25,2,1,57975,3.0
100,400,0.25,2,1,32146,3.0
100,400,0.5,2,1,42,2.0
100,400,0.5,2,1,67,2.0
100,400,0.5,2,1,77,3.0
100,400,0.5,2,1,69,2.0
100,400,0.5,2,1,13,2.0
100,400,0.5,2,1,28430,3.0
100,400,0.5,2,1,44015,2.0
100,400,0.5,2,1,42699,2.0
100,400,0.5,2,1,57975,2.0
100,400,0.5,2,1,32146,2.0
100,400,0.75,2,1,42,2.0
100,400,0.75,2,1,67,2.0
100,400,0.75,2,1,77,2.0
100,400,0.75,2,1,69,2.0
100,400,0.75,2,1,13,2.0
100,400,0.75,2,1,28430,3.0
100,400,0.75,2,1,44015,3.0
100,400,0.75,2,1,42699,3.0
100,400,0.75,2,1,57975,2.0
100,400,0.75,2,1,32146,2.0
100,400,1.0,2,1,42,2.0
100,400,1.0,2,1,67,2.0
100,400,1.0,2,1,77,2.0
100,400,1.0,2,1,69,2.0
100,400,1.0,2,1,13,2.0
100,400,1.0,2,1,28430,2.0
100,400,1.0,2,1,44015,2.0
100,400,1.0,2,1,42699,2.0
100,400,1.0,2,1,57975,2.0
100,400,1.0,2,1,32146,2.0
100,450,0.0,2,1,42,3.5
100,450,0.0,2,1,67,2.5
100,450,0.0,2,1,77,2.5
100,450,0.0,2,1,69,2.5
100,450,0.0,2,1,13,2.5
100,450,0.0,2,1,28430,1.5
100,450,0.0,2,1,44015,2.5
100,450,0.0,2,1,42699,3.5
100,450,0.0,2,1,57975,2.5
100,450,0.0,2,1,32146,2.5
100,450,0.25,2,1,42,2.5
100,450,0.25,2,1,67,3.5
100,450,0.25,2,1,77,2.5
100,450,0.25,2,1,69,2.5
100,450,0.25,2,1,13,2.5
100,450,0.25,2,1,28430,2.5
100,450,0.25,2,1,44015,2.5
100,450,0.25,2,1,42699,2.5
100,450,0.25,2,1,57975,2.5
100,450,0.25,2,1,32146,2.5
100,450,0.5,2,1,42,2.5
100,450,0.5,2,1,67,2.5
100,450,0.5,2,1,77,2.5
100,450,0.5,2,1,69,2.5
100,450,0.5,2,1,13,1.5
100,450,0.5,2,1,28430,2.5
100,450,0.5,2,1,44015,1.5
100,450,0.5,2,1,42699,2.5
100,450,0.5,2,1,57975,1.5
100,450,0.5,2,1,32146,2.5
100,450,0.75,2,1,42,1.5
100,450,0.75,2,1,67,2.5
100,450,0.75,2,1,77,2.5
100,450,0.75,2,1,69,2.5
100,450,0.75,2,1,13,1.5
100,450,0.75,2,1,28430,3.5
100,450,0.75,2,1,44015,2.5
100,450,0.75,2,1,42699,2.5
100,450,0.75,2,1,57975,2.5
100,450,0.75,2,1,32146,2.5
100,450,1.0,2,1,42,1.5
100,450,1.0,2,1,67,2.5
100,450,1.0,2,1,77,2.5
100,450,1.0,2,1,69,2.5
100,450,1.0,2,1,13,2.5
100,450,1.0,2,1,28430,2.5
100,450,1.0,2,1,44015,1.5
100,450,1.0,2,1,42699,1.5
100,450,1.0,2,1,57975,1.5
100,450,1.0,2,1,32146,1.5
100,500,0.0,2,1,42,4.0
100,500,0.0,2,1,67,2.0
100,500,0.0,2,1,77,3.0
100,500,0.0,2,1,69,2.0
100,500,0.0,2,1,13,3.0
100,500,0.0,2,1,28430,2.0
100,500,0.0,2,1,44015,2.0
100,500,0.0,2,1,42699,3.0
100,500,0.0,2,1,57975,2.0
100,500,0.0,2,1,32146,4.0
100,500,0.25,2,1,42,3.0
100,500,0.25,2,1,67,3.0
100,500,0.25,2,1,77,2.0
100,500,0.25,2,1,69,3.0
100,500,0.25,2,1,13,3.0
100,500,0.25,2,1,28430,2.0
100,500,0.25,2,1,44015,2.0
100,500,0.25,2,1,42699,3.0
100,500,0.25,2,1,57975,2.0
100,500,0.25,2,1,32146,2.0
100,500,0.5,2,1,42,2.0
100,500,0.5,2,1,67,3.0
100,500,0.5,2,1,77,2.0
100,500,0.5,2,1,69,2.0
100,500,0.5,2,1,13,4.0
100,500,0.5,2,1,28430,3.0
100,500,0.5,2,1,44015,2.0
100,500,0.5,2,1,42699,3.0
100,500,0.5,2,1,57975,2.0
100,500,0.5,2,1,32146,2.0
100,500,0.75,2,1,42,2.0
100,500,0.75,2,1,67,2.0
100,500,0.75,2,1,77,2.0
100,500,0.75,2,1,69,2.0
100,500,0.75,2,1,13,2.0
100,500,0.75,2,1,28430,3.0
100,500,0.75,2,1,44015,2.0
100,500,0.75,2,1,42699,2.0
100,500,0.75,2,1,57975,2.0
100,500,0.75,2,1,32146,2.0
100,500,1.0,2,1,42,2.0
100,500,1.0,2,1,67,2.0
100,500,1.0,2,1,77,2.0
100,500,1.0,2,1,69,2.0
100,500,1.0,2,1,13,2.0
100,500,1.0,2,1,28430,2.0
100,500,1.0,2,1,44015,2.0
100,500,1.0,2,1,42699,2.0
100,500,1.0,2,1,57975,2.0
100,500,1.0,2,1,32146,2.0
100,550,0.0,2,1,42,4.5
100,550,0.0,2,1,67,2.5
100,550,0.0,2,1,77,2.5
100,550,0.0,2,1,69,1.5
100,550,0.0,2,1,13,2.5
100,550,0.0,2,1,28430,2.5
100,550,0.0,2,1,44015,2.5
100,550,0.0,2,1,42699,2.5
100,550,0.0,2,1,57975,2.5
100,550,0.0,2,1,32146,3.5
100,550,0.25,2,1,42,3.5
100,550,0.25,2,1,67,2.5
100,550,0.25,2,1,77,1.5
100,550,0.25,2,1,69,2.5
100,550,0.25,2,1,13,2.5
100,550,0.25,2,1,28430,2.5
100,550,0.25,2,1,44015,2.5
100,550,0.25,2,1,42699,3.5
100,550,0.25,2,1,57975,2.5
100,550,0.25,2,1,32146,2.5
100,550,0.5,2,1,42,2.5
100,550,0.5,2,1,67,3.5
100,550,0.5,2,1,77,1.5
100,550,0.5,2,1,69,1.5
100,550,0.5,2,1,13,3.5
100,550,0.5,2,1,28430,2.5
100,550,0.5,2,1,44015,3.5
100,550,0.5,2,1,42699,2.5
100,550,0.5,2,1,57975,2.5
100,550,0.5,2,1,32146,1.5
100,550,0.75,2,1,42,1.5
100,550,0.75,2,1,67,1.5
100,550,0.75,2,1,77,3.5
100,550,0.75,2,1,69,2.5
100,550,0.75,2,1,13,1.5
100,550,0.75,2,1,28430,2.5
100,550,0.75,2,1,44015,3.5
100,550,0.75,2,1,42699,2.5
100,550,0.75,2,1,57975,1.5
100,550,0.75,2,1,32146,1.5
100,550,1.0,2,1,42,1.5
100,550,1.0,2,1,67,1.5
100,550,1.0,2,1,77,2.5
100,550,1.0,2,1,69,2.5
100,550,1.0,2,1,13,1.5
100,550,1.0,2,1,28430,1.5
100,550,1.0,2,1,44015,2.5
100,550,1.0,2,1,42699,1.5
100,550,1.0,2,1,57975,2.5
100,550,1.0,2,1,32146,2.5
100,600,0.0,2,1,42,4.0
100,600,0.0,2,1,67,2.0
100,600,0.0,2,1,77,3.0
100,600,0.0,2,1,69,3.0
100,600,0.0,2,1,13,2.0
100,600,0.0,2,1,28430,2.0
100,600,0.0,2,1,44015,2.0
100,600,0.0,2,1,42699,3.0
100,600,0.0,2,1,57975,3.0
100,600,0.0,2,1,32146,3.0
100,600,0.25,2,1,42,3.0
100,600,0.25,2,1,67,3.0
100,600,0.25,2,1,77,2.0
100,600,0.25,2,1,69,2.0
100,600,0.25,2,1,13,2.0
100,600,0.25,2,1,28430,2.0
100,600,0.25,2,1,44015,2.0
100,600,0.25,2,1,42699,3.0
100,600,0.25,2,1,57975,2.0
100,600,0.25,2,1,32146,2.0
100,600,0.5,2,1,42,2.0
100,600,0.5,2,1,67,3.0
100,600,0.5,2,1,77,2.0
100,600,0.5,2,1,69,2.0
100,600,0.5,2,1,13,3.0
100,600,0.5,2,1,28430,2.0
100,600,0.5,2,1,44015,3.0
100,600,0.5,2,1,42699,2.0
100,600,0.5,2,1,57975,2.0
100,600,0.5,2,1,32146,2.0
100,600,0.75,2,1,42,2.0
100,600,0.75,2,1,67,2.0
100,600,0.75,2,1,77,3.0
100,600,0.75,2,1,69,2.0
100,600,0.75,2,1,13,1.0
100,600,0.75,2,1,28430,2.0
100,600,0.75,2,1,44015,4.0
100,600,0.75,2,1,42699,2.0
100,600,0.75,2,1,57975,2.0
100,600,0.75,2,1,32146,2.0
100,600,1.0,2,1,42,2.0
100,600,1.0,2,1,67,2.0
100,600,1.0,2,1,77,2.0
100,600,1.0,2,1,69,3.0
100,600,1.0,2,1,13,2.0
100,600,1.0,2,1,28430,2.0
100,600,1.0,2,1,44015,2.0
100,600,1.0,2,1,42699,2.0
100,600,1.0,2,1,57975,3.0
100,600,1.0,2,1,32146,2.0
100,650,0.0,2,1,42,3.5
100,650,0.0,2,1,67,2.5
100,650,0.0,2,1,77,2.5
100,650,0.0,2,1,69,2.5
100,650,0.0,2,1,13,2.5
100,650,0.0,2,1,28430,1.5
100,650,0.0,2,1,44015,2.5
100,650,0.0,2,1,42699,2.5
100,650,0.0,2,1,57975,2.5
100,650,0.0,2,1,32146,2.5
100,650,0.25,2,1,42,2.5
100,650,0.25,2,1,67,2.5
100,650,0.25,2,1,77,1.5
100,650,0.25,2,1,69,3.5
100,650,0.25,2,1,13,2.5
100,650,0.25,2,1,28430,2.5
100,650,0.25,2,1,44015,2.5
100,650,0.25,2,1,42699,2.5
100,650,0.25,2,1,57975,2.5
100,650,0.25,2,1,32146,2.5
100,650,0.5,2,1,42,1.5
100,650,0.5,2,1,67,2.5
100,650,0.5,2,1,77,1.5
100,650,0.5,2,1,69,1.5
100,650,0.5,2,1,13,2.5
100,650,0.5,2,1,28430,2.5
100,650,0.5,2,1,44015,2.5
100,650,0.5,2,1,42699,2.5
100,650,0.5,2,1,57975,1.5
100,650,0.5,2,1,32146,2.5
100,650,0.75,2,1,42,2.5
100,650,0.75,2,1,67,1.5
100,650,0.75,2,1,77,2.5
100,650,0.75,2,1,69,1.5
100,650,0.75,2,1,13,1.5
100,650,0.75,2,1,28430,2.5
100,650,0.75,2,1,44015,3.5
100,650,0.75,2,1,42699,2.5
100,650,0.75,2,1,57975,2.5
100,650,0.75,2,1,32146,1.5
100,650,1.0,2,1,42,1.5
100,650,1.0,2,1,67,1.5
100,650,1.0,2,1,77,1.5
100,650,1.0,2,1,69,2.5
100,650,1.0,2,1,13,2.5
100,650,1.0,2,1,28430,1.5
100,650,1.0,2,1,44015,1.5
100,650,1.0,2,1,42699,2.5
100,650,1.0,2,1,57975,2.5
100,650,1.0,2,1,32146,1.5
100,700,0.0,2,1,42,3.0
100,700,0.0,2,1,67,3.0
100,700,0.0,2,1,77,3.0
100,700,0.0,2,1,69,3.0
100,700,0.0,2,1,13,3.0
100,700,0.0,2,1,28430,2.0
100,700,0.0,2,1,44015,2.0
100,700,0.0,2,1,42699,3.0
100,700,0.0,2,1,57975,3.0
100,700,0.0,2,1,32146,3.0
100,700,0.25,2,1,42,3.0
100,700,0.25,2,1,67,3.0
100,700,0.25,2,1,77,2.0
100,700,0.25,2,1,69,5.0
100,700,0.25,2,1,13,3.0
100,700,0.25,2,1,28430,2.0
100,700,0.25,2,1,44015,2.0
100,700,0.25,2,1,42699,3.0
100,700,0.25,2,1,57975,2.0
100,700,0.25,2,1,32146,3.0
100,700,0.5,2,1,42,2.0
100,700,0.5,2,1,67,3.0
100,700,0.5,2,1,77,2.0
100,700,0.5,2,1,69,2.0
100,700,0.5,2,1,13,2.0
100,700,0.5,2,1,28430,2.0
100,700,0.5,2,1,44015,2.0
100,700,0.5,2,1,42699,2.0
100,700,0.5,2,1,57975,1.0
100,700,0.5,2,1,32146,2.0
100,700,0.75,2,1,42,2.0
100,700,0.75,2,1,67,2.0
100,700,0.75,2,1,77,2.0
100,700,0.75,2,1,69,2.0
100,700,0.75,2,1,13,1.0
100,700,0.75,2,1,28430,2.0
100,700,0.75,2,1,44015,3.0
100,700,0.75,2,1,42699,3.0
100,700,0.75,2,1,57975,2.0
100,700,0.75,2,1,32146,2.0
100,700,1.0,2,1,42,2.0
100,700,1.0,2,1,67,2.0
100,700,1.0,2,1,77,2.0
100,700,1.0,2,1,69,2.0
100,700,1.0,2,1,13,2.0
100,700,1.0,2,1,28430,2.0
100,700,1.0,2,1,44015,2.0
100,700,1.0,2,1,42699,2.0
100,700,1.0,2,1,57975,2.0
100,700,1.0,2,1,32146,2.0
100,750,0.0,2,1,42,2.5
100,750,0.0,2,1,67,2.5
100,750,0.0,2,1,77,2.5
100,750,0.0,2,1,69,2.5
