,m,n,beta,d,b_batch,seed,gap
63,100,25,0.35,6,1,69,1.75
64,100,25,0.35,6,1,13,1.75
65,100,25,0.35,6,1,28430,0.75
66,100,25,0.35,6,1,44015,1.75
67,100,25,0.35,6,1,42699,1.75
68,100,25,0.35,6,1,57975,1.75
69,100,25,0.35,6,1,32146,1.75
70,100,25,0.35,8,1,42,2.75
71,100,25,0.35,8,1,67,1.75
72,100,25,0.35,8,1,77,1.75
73,100,25,0.35,8,1,69,1.75
74,100,25,0.35,8,1,13,1.75
75,100,25,0.35,8,1,28430,1.75
76,100,25,0.35,8,1,44015,1.75
77,100,25,0.35,8,1,42699,1.75
78,100,25,0.35,8,1,57975,1.75
79,100,25,0.35,8,1,32146,1.75
80,100,25,0.6,2,1,42,1.75
81,100,25,0.6,2,1,67,1.75
82,100,25,0.6,2,1,77,1.75
83,100,25,0.6,2,1,69,1.75
84,100,25,0.6,2,1,13,0.75
85,100,25,0.6,2,1,28430,1.75
86,100,25,0.6,2,1,44015,1.75
87,100,25,0.6,2,1,42699,0.75
88,100,25,0.6,2,1,57975,2.75
89,100,25,0.6,2,1,32146,1.75
90,100,25,0.6,4,1,42,1.75
91,100,25,0.6,4,1,67,1.75
92,100,25,0.6,4,1,77,1.75
93,100,25,0.6,4,1,69,1.75
94,100,25,0.6,4,1,13,0.75
95,100,25,0.6,4,1,28430,0.75
96,100,25,0.6,4,1,44015,0.75
97,100,25,0.6,4,1,42699,0.75
98,100,25,0.6,4,1,57975,1.75
99,100,25,0.6,4,1,32146,2.75
100,100,25,0.6,6,1,42,1.75
101,100,25,0.6,6,1,67,1.75
102,100,25,0.6,6,1,77,1.75
103,100,25,0.6,6,1,69,1.75
104,100,25,0.6,6,1,13,1.75
105,100,25,0.6,6,1,28430,1.75
106,100,25,0.6,6,1,44015,0.75
107,100,25,0.6,6,1,42699,1.75
108,100,25,0.6,6,1,57975,2.75
109,100,25,0.6,6,1,32146,2.75
110,100,25,0.6,8,1,42,1.75
111,100,25,0.6,8,1,67,1.75
112,100,25,0.6,8,1,77,1.75
113,100,25,0.6,8,1,69,1.75
114,100,25,0.6,8,1,13,0.75
115,100,25,0.6,8,1,28430,1.75
116,100,25,0.6,8,1,44015,1.75
117,100,25,0.6,8,1,42699,1.75
118,100,25,0.6,8,1,57975,1.75
119,100,25,0.6,8,1,32146,0.75
120,100,25,0.85,2,1,42,0.75
121,100,25,0.85,2,1,67,1.75
122,100,25,0.85,2,1,77,1.75
123,100,25,0.85,2,1,69,1.75
124,100,25,0.85,2,1,13,1.75
125,100,25,0.85,2,1,28430,1.75
126,100,25,0.85,2,1,44015,1.75
127,100,25,0.85,2,1,42699,1.75
128,100,25,0.85,2,1,57975,1.75
129,100,25,0.85,2,1,32146,0.75
130,100,25,0.85,4,1,42,1.75
131,100,25,0.85,4,1,67,0.75
132,100,25,0.85,4,1,77,0.75
133,100,25,0.85,4,1,69,0.75
134,100,25,0.85,4,1,13,0.75
135,100,25,0.85,4,1,28430,0.75
136,100,25,0.85,4,1,44015,0.75
137,100,25,0.85,4,1,42699,0.75
138,100,25,0.85,4,1,57975,1.75
139,100,25,0.85,4,1,32146,0.75
140,100,25,0.85,6,1,42,1.75
141,100,25,0.85,6,1,67,0.75
142,100,25,0.85,6,1,77,1.75
143,100,25,0.85,6,1,69,0.75
144,100,25,0.85,6,1,13,0.75
145,100,25,0.85,6,1,28430,1.75
146,100,25,0.85,6,1,44015,0.75
147,100,25,0.85,6,1,42699,0.75
148,100,25,0.85,6,1,57975,1.75
149,100,25,0.85,6,1,32146,0.75
150,100,25,0.85,8,1,42,0.75
151,100,25,0.85,8,1,67,1.75
152,100,25,0.85,8,1,77,1.75
153,100,25,0.85,8,1,69,0.75
154,100,25,0.85,8,1,13,1.75
155,100,25,0.85,8,1,28430,0.75
156,100,25,0.85,8,1,44015,0.75
157,100,25,0.85,8,1,42699,0.75
158,100,25,0.85,8,1,57975,0.75
159,100,25,0.85,8,1,32146,0.75
160,100,50,0.1,2,1,42,2.5
161,100,50,0.1,2,1,67,2.5
162,100,50,0.1,2,1,77,1.5
163,100,50,0.1,2,1,69,2.5
164,100,50,0.1,2,1,13,1.5
165,100,50,0.1,2,1,28430,2.5
166,100,50,0.1,2,1,44015,2.5
167,100,50,0.1,2,1,42699,2.5
168,100,50,0.1,2,1,57975,2.5
169,100,50,0.1,2,1,32146,3.5
170,100,50,0.1,4,1,42,2.5
171,100,50,0.1,4,1,67,1.5
172,100,50,0.1,4,1,77,1.5
173,100,50,0.1,4,1,69,2.5
174,100,50,0.1,4,1,13,1.5
175,100,50,0.1,4,1,28430,1.5
176,100,50,0.1,4,1,44015,2.5
177,100,50,0.1,4,1,42699,2.5
178,100,50,0.1,4,1,57975,2.5
179,100,50,0.1,4,1,32146,3.5
180,100,50,0.1,6,1,42,3.5
181,100,50,0.1,6,1,67,1.5
182,100,50,0.1,6,1,77,1.5
183,100,50,0.1,6,1,69,3.5
184,100,50,0.1,6,1,13,2.5
185,100,50,0.1,6,1,28430,2.5
186,100,50,0.1,6,1,44015,3.5
187,100,50,0.1,6,1,42699,2.5
188,100,50,0.1,6,1,57975,2.5
189,100,50,0.1,6,1,32146,2.5
190,100,50,0.1,8,1,42,3.5
191,100,50,0.1,8,1,67,2.5
192,100,50,0.1,8,1,77,1.5
193,100,50,0.1,8,1,69,1.5
194,100,50,0.1,8,1,13,2.5
195,100,50,0.1,8,1,28430,2.5
196,100,50,0.1,8,1,44015,2.5
197,100,50,0.1,8,1,42699,2.5
198,100,50,0.1,8,1,57975,2.5
199,100,50,0.1,8,1,32146,3.5
200,100,50,0.35,2,1,42,2.5
201,100,50,0.35,2,1,67,2.5
202,100,50,0.35,2,1,77,3.5
203,100,50,0.35,2,1,69,2.5
204,100,50,0.35,2,1,13,1.5
205,100,50,0.35,2,1,28430,2.5
206,100,50,0.35,2,1,44015,2.5
207,100,50,0.35,2,1,42699,2.5
208,100,50,0.35,2,1,57975,1.5
209,100,50,0.35,2,1,32146,2.5
210,100,50,0.35,4,1,42,2.5
211,100,50,0.35,4,1,67,2.5
212,100,50,0.35,4,1,77,1.5
213,100,50,0.35,4,1,69,1.5
214,100,50,0.35,4,1,13,2.5
215,100,50,0.35,4,1,28430,1.5
216,100,50,0.35,4,1,44015,1.5
217,100,50,0.35,4,1,42699,1.5
218,100,50,0.35,4,1,57975,2.5
219,100,50,0.35,4,1,32146,2.5
220,100,50,0.35,6,1,42,2.5
221,100,50,0.35,6,1,67,1.5
222,100,50,0.35,6,1,77,2.5
223,100,50,0.35,6,1,69,1.5
224,100,50,0.35,6,1,13,1.5
225,100,50,0.35,6,1,28430,1.5
226,100,50,0.35,6,1,44015,2.5
227,100,50,0.35,6,1,42699,1.5
228,100,50,0.35,6,1,57975,1.5
229,100,50,0.35,6,1,32146,2.5
230,100,50,0.35,8,1,42,2.5
231,100,50,0.35,8,1,67,1.5
232,100,50,0.35,8,1,77,2.5
233,100,50,0.35,8,1,69,1.5
234,100,50,0.35,8,1,13,2.5
235,100,50,0.35,8,1,28430,1.5
236,100,50,0.35,8,1,44015,2.5
237,100,50,0.35,8,1,42699,1.5
238,100,50,0.35,8,1,57975,2.5
239,100,50,0.35,8,1,32146,1.5
240,100,50,0.6,2,1,42,1.5
241,100,50,0.6,2,1,67,1.5
242,100,50,0.6,2,1,77,1.5
243,100,50,0.6,2,1,69,1.5
244,100,50,0.6,2,1,13,1.5
245,100,50,0.6,2,1,28430,1.5
246,100,50,0.6,2,1,44015,1.5
247,100,50,0.6,2,1,42699,1.5
248,100,50,0.6,2,1,57975,2.5
249,100,50,0.6,2,1,32146,2.5
250,100,50,0.6,4,1,42,1.5
251,100,50,0.6,4,1,67,1.5
252,100,50,0.6,4,1,77,1.5
253,100,50,0.6,4,1,69,1.5
254,100,50,0.6,4,1,13,2.5
255,100,50,0.6,4,1,28430,2.5
256,100,50,0.6,4,1,44015,1.5
257,100,50,0.6,4,1,42699,1.5
258,100,50,0.6,4,1,57975,2.5
259,100,50,0.6,4,1,32146,2.5
260,100,50,0.6,6,1,42,1.5
261,100,50,0.6,6,1,67,2.5
262,100,50,0.6,6,1,77,1.5
263,100,50,0.6,6,1,69,1.5
264,100,50,0.6,6,1,13,2.5
265,100,50,0.6,6,1,28430,1.5
266,100,50,0.6,6,1,44015,2.5
267,100,50,0.6,6,1,42699,1.5
268,100,50,0.6,6,1,57975,2.5
269,100,50,0.6,6,1,32146,2.5
270,100,50,0.6,8,1,42,1.5
271,100,50,0.6,8,1,67,1.5
272,100,50,0.6,8,1,77,2.5
273,100,50,0.6,8,1,69,1.5
274,100,50,0.6,8,1,13,1.5
275,100,50,0.6,8,1,28430,1.5
276,100,50,0.6,8,1,44015,1.5
277,100,50,0.6,8,1,42699,1.5
278,100,50,0.6,8,1,57975,2.5
279,100,50,0.6,8,1,32146,1.5
280,100,50,0.85,2,1,42,1.5
281,100,50,0.85,2,1,67,1.5
282,100,50,0.85,2,1,77,1.5
283,100,50,0.85,2,1,69,1.5
284,100,50,0.85,2,1,13,1.5
285,100,50,0.85,2,1,28430,1.5
286,100,50,0.85,2,1,44015,1.5
287,100,50,0.85,2,1,42699,1.5
288,100,50,0.85,2,1,57975,1.5
289,100,50,0.85,2,1,32146,1.5
290,100,50,0.85,4,1,42,1.5
291,100,50,0.85,4,1,67,1.5
292,100,50,0.85,4,1,77,1.5
293,100,50,0.85,4,1,69,1.5
294,100,50,0.85,4,1,13,1.5
295,100,50,0.85,4,1,28430,1.5
296,100,50,0.85,4,1,44015,1.5
297,100,50,0.85,4,1,42699,1.5
298,100,50,0.85,4,1,57975,1.5
299,100,50,0.85,4,1,32146,1.5
300,100,50,0.85,6,1,42,1.5
301,100,50,0.85,6,1,67,1.5
302,100,50,0.85,6,1,77,1.5
303,100,50,0.85,6,1,69,1.5
304,100,50,0.85,6,1,13,1.5
305,100,50,0.85,6,1,28430,1.5
306,100,50,0.85,6,1,44015,1.5
307,100,50,0.85,6,1,42699,1.5
308,100,50,0.85,6,1,57975,1.5
309,100,50,0.85,6,1,32146,1.5
310,100,50,0.85,8,1,42,0.5
311,100,50,0.85,8,1,67,1.5
312,100,50,0.85,8,1,77,1.5
313,100,50,0.85,8,1,69,1.5
314,100,50,0.85,8,1,13,1.5
315,100,50,0.85,8,1,28430,1.5
316,100,50,0.85,8,1,44015,1.5
317,100,50,0.85,8,1,42699,0.5
318,100,50,0.85,8,1,57975,1.5
319,100,50,0.85,8,1,32146,1.5
320,100,100,0.1,2,1,42,4.0
321,100,100,0.1,2,1,67,2.0
322,100,100,0.1,2,1,77,2.0
323,100,100,0.1,2,1,69,2.0
324,100,100,0.1,2,1,13,3.0
325,100,100,0.1,2,1,28430,3.0
326,100,100,0.1,2,1,44015,3.0
327,100,100,0.1,2,1,42699,3.0
328,100,100,0.1,2,1,57975,3.0
329,100,100,0.1,2,1,32146,4.0
330,100,100,0.1,4,1,42,3.0
331,100,100,0.1,4,1,67,3.0
332,100,100,0.1,4,1,77,3.0
333,100,100,0.1,4,1,69,3.0
334,100,100,0.1,4,1,13,2.0
335,100,100,0.1,4,1,28430,2.0
336,100,100,0.1,4,1,44015,3.0
337,100,100,0.1,4,1,42699,4.0
338,100,100,0.1,4,1,57975,4.0
339,100,100,0.1,4,1,32146,3.0
340,100,100,0.1,6,1,42,4.0
341,100,100,0.1,6,1,67,3.0
342,100,100,0.1,6,1,77,3.0
343,100,100,0.1,6,1,69,3.0
344,100,100,0.1,6,1,13,2.0
345,100,100,0.1,6,1,28430,2.0
346,100,100,0.1,6,1,44015,3.0
347,100,100,0.1,6,1,42699,3.0
348,100,100,0.1,6,1,57975,4.0
349,100,100,0.1,6,1,32146,3.0
350,100,100,0.1,8,1,42,3.0
351,100,100,0.1,8,1,67,2.0
352,100,100,0.1,8,1,77,2.0
353,100,100,0.1,8,1,69,2.0
354,100,100,0.1,8,1,13,3.0
355,100,100,0.1,8,1,28430,3.0
356,100,100,0.1,8,1,44015,2.0
357,100,100,0.1,8,1,42699,3.0
358,100,100,0.1,8,1,57975,4.0
359,100,100,0.1,8,1,32146,4.0
360,100,100,0.35,2,1,42,3.0
361,100,100,0.35,2,1,67,3.0
362,100,100,0.35,2,1,77,3.0
363,100,100,0.35,2,1,69,2.0
364,100,100,0.35,2,1,13,3.0
365,100,100,0.35,2,1,28430,3.0
366,100,100,0.35,2,1,44015,3.0
367,100,100,0.35,2,1,42699,2.0
368,100,100,0.35,2,1,57975,2.0
369,100,100,0.35,2,1,32146,4.0
370,100,100,0.35,4,1,42,4.0
371,100,100,0.35,4,1,67,3.0
372,100,100,0.35,4,1,77,2.0
373,100,100,0.35,4,1,69,2.0
374,100,100,0.35,4,1,13,3.0
375,100,100,0.35,4,1,28430,3.0
376,100,100,0.35,4,1,44015,2.0
377,100,100,0.35,4,1,42699,2.0
378,100,100,0.35,4,1,57975,3.0
379,100,100,0.35,4,1,32146,3.0
380,100,100,0.35,6,1,42,2.0
381,100,100,0.35,6,1,67,2.0
382,100,100,0.35,6,1,77,2.0
383,100,100,0.35,6,1,69,3.0
384,100,100,0.35,6,1,13,2.0
385,100,100,0.35,6,1,28430,2.0
386,100,100,0.35,6,1,44015,2.0
387,100,100,0.35,6,1,42699,2.0
388,100,100,0.35,6,1,57975,2.0
389,100,100,0.35,6,1,32146,3.0
390,100,100,0.35,8,1,42,2.0
391,100,100,0.35,8,1,67,2.0
392,100,100,0.35,8,1,77,2.0
393,100,100,0.35,8,1,69,2.0
394,100,100,0.35,8,1,13,3.0
395,100,100,0.35,8,1,28430,3.0
396,100,100,0.35,8,1,44015,3.0
397,100,100,0.35,8,1,42699,3.0
398,100,100,0.35,8,1,57975,2.0
399,100,100,0.35,8,1,32146,3.0
400,100,100,0.6,2,1,42,2.0
401,100,100,0.6,2,1,67,4.0
402,100,100,0.6,2,1,77,2.0
403,100,100,0.6,2,1,69,1.0
404,100,100,0.6,2,1,13,2.0
405,100,100,0.6,2,1,28430,2.0
406,100,100,0.6,2,1,44015,3.0
407,100,100,0.6,2,1,42699,3.0
408,100,100,0.6,2,1,57975,3.0
409,100,100,0.6,2,1,32146,3.0
410,100,100,0.6,4,1,42,2.0
411,100,100,0.6,4,1,67,2.0
412,100,100,0.6,4,1,77,3.0
413,100,100,0.6,4,1,69,4.0
414,100,100,0.6,4,1,13,2.0
415,100,100,0.6,4,1,28430,2.0
416,100,100,0.6,4,1,44015,2.0
417,100,100,0.6,4,1,42699,2.0
418,100,100,0.6,4,1,57975,2.0
419,100,100,0.6,4,1,32146,2.0
420,100,100,0.6,6,1,42,1.0
421,100,100,0.6,6,1,67,2.0
422,100,100,0.6,6,1,77,2.0
423,100,100,0.6,6,1,69,2.0
424,100,100,0.6,6,1,13,2.0
425,100,100,0.6,6,1,28430,2.0
426,100,100,0.6,6,1,44015,2.0
427,100,100,0.6,6,1,42699,1.0
428,100,100,0.6,6,1,57975,2.0
429,100,100,0.6,6,1,32146,2.0
430,100,100,0.6,8,1,42,3.0
431,100,100,0.6,8,1,67,2.0
432,100,100,0.6,8,1,77,2.0
433,100,100,0.6,8,1,69,2.0
434,100,100,0.6,8,1,13,2.0
435,100,100,0.6,8,1,28430,3.0
436,100,100,0.6,8,1,44015,2.0
437,100,100,0.6,8,1,42699,3.0
438,100,100,0.6,8,1,57975,3.0
439,100,100,0.6,8,1,32146,2.0
440,100,100,0.85,2,1,42,2.0
441,100,100,0.85,2,1,67,2.0
442,100,100,0.85,2,1,77,2.0
443,100,100,0.85,2,1,69,2.0
444,100,100,0.85,2,1,13,2.0
445,100,100,0.85,2,1,28430,2.0
446,100,100,0.85,2,1,44015,2.0
447,100,100,0.85,2,1,42699,2.0
448,100,100,0.85,2,1,57975,2.0
449,100,100,0.85,2,1,32146,2.0
450,100,100,0.85,4,1,42,2.0
451,100,100,0.85,4,1,67,2.0
452,100,100,0.85,4,1,77,2.0
453,100,100,0.85,4,1,69,1.0
454,100,100,0.85,4,1,13,1.0
455,100,100,0.85,4,1,28430,1.0
456,100,100,0.85,4,1,44015,3.0
457,100,100,0.85,4,1,42699,1.0
458,100,100,0.85,4,1,57975,2.0
459,100,100,0.85,4,1,32146,1.0
460,100,100,0.85,6,1,42,2.0
461,100,100,0.85,6,1,67,2.0
462,100,100,0.85,6,1,77,2.0
463,100,100,0.85,6,1,69,1.0
464,100,100,0.85,6,1,13,2.0
465,100,100,0.85,6,1,28430,1.0
466,100,100,0.85,6,1,44015,1.0
467,100,100,0.85,6,1,42699,1.0
468,100,100,0.85,6,1,57975,2.0
469,100,100,0.85,6,1,32146,1.0
470,100,100,0.85,8,1,42,1.0
471,100,100,0.85,8,1,67,2.0
472,100,100,0.85,8,1,77,1.0
473,100,100,0.85,8,1,69,1.0
474,100,100,0.85,8,1,13,1.0
475,100,100,0.85,8,1,28430,1.0
476,100,100,0.85,8,1,44015,2.0
477,100,100,0.85,8,1,42699,1.0
478,100,100,0.85,8,1,57975,1.0
479,100,100,0.85,8,1,32146,1.0
480,100,150,0.1,2,1,42,5.5
481,100,150,0.1,2,1,67,2.5
482,100,150,0.1,2,1,77,2.5
483,100,150,0.1,2,1,69,4.5
484,100,150,0.1,2,1,13,3.5
485,100,150,0.1,2,1,28430,3.5
486,100,150,0.1,2,1,44015,4.5
487,100,150,0.1,2,1,42699,3.5
488,100,150,0.1,2,1,57975,3.5
489,100,150,0.1,2,1,32146,3.5
490,100,150,0.1,4,1,42,3.5
491,100,150,0.1,4,1,67,3.5
492,100,150,0.1,4,1,77,3.5
493,100,150,0.1,4,1,69,3.5
494,100,150,0.1,4,1,13,3.5
495,100,150,0.1,4,1,28430,3.5
496,100,150,0.1,4,1,44015,3.5
497,100,150,0.1,4,1,42699,3.5
498,100,150,0.1,4,1,57975,3.5
499,100,150,0.1,4,1,32146,3.5
500,100,150,0.1,6,1,42,3.5
501,100,150,0.1,6,1,67,4.5
502,100,150,0.1,6,1,77,2.5
503,100,150,0.1,6,1,69,3.5
504,100,150,0.1,6,1,13,3.5
505,100,150,0.1,6,1,28430,3.5
506,100,150,0.1,6,1,44015,3.5
507,100,150,0.1,6,1,42699,2.5
508,100,150,0.1,6,1,57975,3.5
509,100,150,0.1,6,1,32146,3.5
510,100,150,0.1,8,1,42,3.5
511,100,150,0.1,8,1,67,2.5
512,100,150,0.1,8,1,77,3.5
513,100,150,0.1,8,1,69,3.5
514,100,150,0.1,8,1,13,4.5
515,100,150,0.1,8,1,28430,3.5
516,100,150,0.1,8,1,44015,3.5
517,100,150,0.1,8,1,42699,3.5
518,100,150,0.1,8,1,57975,3.5
519,100,150,0.1,8,1,32146,3.5
520,100,150,0.35,2,1,42,3.5
521,100,150,0.35,2,1,67,3.5
522,100,150,0.35,2,1,77,2.5
523,100,150,0.35,2,1,69,5.5
524,100,150,0.35,2,1,13,3.5
525,100,150,0.35,2,1,28430,2.5
526,100,150,0.35,2,1,44015,2.5
527,100,150,0.35,2,1,42699,3.5
528,100,150,0.35,2,1,57975,2.5
529,100,150,0.35,2,1,32146,3.5
530,100,150,0.35,4,1,42,3.5
531,100,150,0.35,4,1,67,2.5
532,100,150,0.35,4,1,77,2.5
533,100,150,0.35,4,1,69,4.5
534,100,150,0.35,4,1,13,2.5
535,100,150,0.35,4,1,28430,2.5
536,100,150,0.35,4,1,44015,2.5
537,100,150,0.35,4,1,42699,2.5
538,100,150,0.35,4,1,57975,3.5
539,100,150,0.35,4,1,32146,2.5
540,100,150,0.35,6,1,42,2.5
541,100,150,0.35,6,1,67,2.5
542,100,150,0.35,6,1,77,2.5
543,100,150,0.35,6,1,69,2.5
544,100,150,0.35,6,1,13,2.5
545,100,150,0.35,6,1,28430,2.5
546,100,150,0.35,6,1,44015,2.5
547,100,150,0.35,6,1,42699,2.5
548,100,150,0.35,6,1,57975,2.5
549,100,150,0.35,6,1,32146,2.5
550,100,150,0.35,8,1,42,3.5
551,100,150,0.35,8,1,67,2.5
552,100,150,0.35,8,1,77,2.5
553,100,150,0.35,8,1,69,2.5
554,100,150,0.35,8,1,13,3.5
555,100,150,0.35,8,1,28430,2.5
556,100,150,0.35,8,1,44015,3.5
557,100,150,0.35,8,1,42699,2.5
558,100,150,0.35,8,1,57975,3.5
559,100,150,0.35,8,1,32146,2.5
560,100,150,0.6,2,1,42,2.5
561,100,150,0.6,2,1,67,3.5
562,100,150,0.6,2,1,77,2.5
563,100,150,0.6,2,1,69,2.5
564,100,150,0.6,2,1,13,2.5
565,100,150,0.6,2,1,28430,1.5
566,100,150,0.6,2,1,44015,2.5
567,100,150,0.6,2,1,42699,3.5
568,100,150,0.6,2,1,57975,2.5
569,100,150,0.6,2,1,32146,2.5
570,100,150,0.6,4,1,42,2.5
571,100,150,0.6,4,1,67,3.5
572,100,150,0.6,4,1,77,2.5
573,100,150,0.6,4,1,69,3.5
574,100,150,0.6,4,1,13,2.5
575,100,150,0.6,4,1,28430,1.5
576,100,150,0.6,4,1,44015,2.5
577,100,150,0.6,4,1,42699,1.5
578,100,150,0.6,4,1,57975,2.5
579,100,150,0.6,4,1,32146,1.5
580,100,150,0.6,6,1,42,1.5
581,100,150,0.6,6,1,67,2.5
582,100,150,0.6,6,1,77,1.5
583,100,150,0.6,6,1,69,1.5
584,100,150,0.6,6,1,13,3.5
585,100,150,0.6,6,1,28430,1.5
586,100,150,0.6,6,1,44015,2.5
587,100,150,0.6,6,1,42699,2.5
588,100,150,0.6,6,1,57975,1.5
589,100,150,0.6,6,1,32146,1.5
590,100,150,0.6,8,1,42,3.5
591,100,150,0.6,8,1,67,2.5
592,100,150,0.6,8,1,77,2.5
593,100,150,0.6,8,1,69,1.5
594,100,150,0.6,8,1,13,2.5
595,100,150,0.6,8,1,28430,2.5
596,100,150,0.6,8,1,44015,2.5
597,100,150,0.6,8,1,42699,2.5
598,100,150,0.6,8,1,57975,3.5
599,100,150,0.6,8,1,32146,3.5
600,100,150,0.85,2,1,42,2.5
601,100,150,0.85,2,1,67,1.5
602,100,150,0.85,2,1,77,2.5
603,100,150,0.85,2,1,69,1.5
604,100,150,0.85,2,1,13,1.5
605,100,150,0.85,2,1,28430,1.5
606,100,150,0.85,2,1,44015,1.5
607,100,150,0.85,2,1,42699,1.5
608,100,150,0.85,2,1,57975,2.5
609,100,150,0.85,2,1,32146,1.5
610,100,150,0.85,4,1,42,1.5
611,100,150,0.85,4,1,67,1.5
612,100,150,0.85,4,1,77,1.5
613,100,150,0.85,4,1,69,1.5
614,100,150,0.85,4,1,13,1.5
615,100,150,0.85,4,1,28430,1.5
616,100,150,0.85,4,1,44015,2.5
617,100,150,0.85,4,1,42699,2.5
618,100,150,0.85,4,1,57975,1.5
619,100,150,0.85,4,1,32146,1.5
620,100,150,0.85,6,1,42,1.5
621,100,150,0.85,6,1,67,1.5
622,100,150,0.85,6,1,77,1.5
623,100,150,0.85,6,1,69,1.5
624,100,150,0.85,6,1,13,1.5
625,100,150,0.85,6,1,28430,1.5
626,100,150,0.85,6,1,44015,1.5
627,100,150,0.85,6,1,42699,1.5
628,100,150,0.85,6,1,57975,1.5
629,100,150,0.85,6,1,32146,1.5
630,100,150,0.85,8,1,42,1.5
631,100,150,0.85,8,1,67,1.5
632,100,150,0.85,8,1,77,1.5
633,100,150,0.85,8,1,69,1.5
634,100,150,0.85,8,1,13,1.5
635,100,150,0.85,8,1,28430,1.5
636,100,150,0.85,8,1,44015,2.5
637,100,150,0.85,8,1,42699,1.5
638,100,150,0.85,8,1,57975,1.5
639,100,150,0.85,8,1,32146,1.5
640,100,200,0.1,2,1,42,5.0
641,100,200,0.1,2,1,67,3.0
642,100,200,0.1,2,1,77,2.0
643,100,200,0.1,2,1,69,5.0
644,100,200,0.1,2,1,13,3.0
645,100,200,0.1,2,1,28430,4.0
646,100,200,0.1,2,1,44015,5.0
647,100,200,0.1,2,1,42699,4.0
648,100,200,0.1,2,1,57975,4.0
649,100,200,0.1,2,1,32146,6.0
650,100,200,0.1,4,1,42,4.0
651,100,200,0.1,4,1,67,3.0
652,100,200,0.1,4,1,77,4.0
653,100,200,0.1,4,1,69,5.0
654,100,200,0.1,4,1,13,4.0
655,100,200,0.1,4,1,28430,5.0
656,100,200,0.1,4,1,44015,3.0
657,100,200,0.1,4,1,42699,3.0
658,100,200,0.1,4,1,57975,5.0
659,100,200,0.1,4,1,32146,3.0
660,100,200,0.1,6,1,42,5.0
661,100,200,0.1,6,1,67,6.0
662,100,200,0.1,6,1,77,4.0
663,100,200,0.1,6,1,69,4.0
664,100,200,0.1,6,1,13,3.0
665,100,200,0.1,6,1,28430,4.0
666,100,200,0.1,6,1,44015,4.0
667,100,200,0.1,6,1,42699,4.0
668,100,200,0.1,6,1,57975,5.0
669,100,200,0.1,6,1,32146,3.0
670,100,200,0.1,8,1,42,5.0
671,100,200,0.1,8,1,67,4.0
672,100,200,0.1,8,1,77,3.0
673,100,200,0.1,8,1,69,4.0
674,100,200,0.1,8,1,13,5.0
675,100,200,0.1,8,1,28430,4.0
676,100,200,0.1,8,1,44015,3.0
677,100,200,0.1,8,1,42699,4.0
678,100,200,0.1,8,1,57975,3.0
679,100,200,0.1,8,1,32146,3.0
